tick,source,destination,length
5,S3,S4,4
8,S2,S3,3
9,S3,S4,1
15,S1,S2,2
15,S3,S4,1
27,S3,S4,4
32,S2,S3,4
37,S2,S3,1
40,S3,S2,3
48,S3,S2,3
54,S2,S3,2
56,S3,S4,3
62,S3,S4,4
64,S2,S3,4
70,S3,S2,2
71,S1,S2,3
71,S2,S3,3
75,S2,S3,1
75,S3,S2,3
80,S1,S2,2
81,S2,S3,2
84,S3,S2,1
85,S3,S4,3
89,S3,S2,3
92,S1,S2,3
93,S3,S4,4
96,S2,S3,2
97,S1,S2,1
100,S1,S4,2
100,S3,S2,3
113,S2,S3,1
113,S3,S4,3
114,S1,S2,3
114,S2,S3,4
120,S1,S3,4
123,S3,S2,1
125,S3,S2,3
132,S3,S2,1
133,S2,S3,4
133,S3,S2,4
136,S1,S2,4
138,S2,S4,4
138,S3,S2,4
149,S2,S3,2
149,S3,S2,2
152,S1,S2,1
152,S3,S2,3
155,S1,S4,4
155,S2,S3,2
163,S3,S4,2
165,S1,S3,4
165,S2,S3,3
167,S3,S4,4
172,S1,S2,3
172,S3,S2,4
177,S2,S4,3
177,S3,S2,2
179,S3,S4,3
181,S2,S3,2
184,S2,S4,2
184,S3,S4,1
187,S2,S3,1
194,S3,S4,4
199,S1,S2,4
208,S3,S4,3
213,S2,S3,2
215,S3,S4,2
218,S3,S4,4
221,S2,S3,1
224,S3,S4,4
227,S1,S2,4
230,S3,S2,2
232,S2,S4,2
232,S3,S4,2
235,S3,S2,3
237,S1,S2,1
244,S1,S4,4
244,S3,S2,1
250,S1,S2,1
250,S3,S2,1
251,S3,S4,1
253,S3,S4,1
257,S1,S2,2
258,S2,S3,1
260,S3,S4,4
261,S2,S3,4
268,S3,S2,3
272,S2,S3,2
275,S1,S2,1
281,S2,S3,1
283,S3,S2,2
289,S3,S2,3
294,S3,S2,1
300,S1,S3,1
300,S2,S3,2
301,S1,S3,4
301,S3,S4,1
309,S3,S4,3
310,S2,S3,4
313,S3,S4,1
314,S1,S2,1
324,S2,S4,3
324,S3,S4,4
330,S2,S3,4
337,S3,S4,1
340,S2,S3,2
342,S2,S3,3
342,S3,S2,1
345,S2,S3,2
345,S3,S2,2
348,S3,S2,3
355,S2,S3,2
355,S3,S2,1
358,S3,S2,2
359,S2,S3,3
367,S2,S3,3
370,S1,S4,2
370,S3,S4,2
374,S3,S4,3
378,S3,S2,3
389,S2,S4,4
389,S3,S2,1
390,S3,S4,3
395,S2,S4,1
395,S3,S2,3
400,S2,S3,1
402,S1,S2,2
404,S3,S2,3
411,S1,S4,4
411,S3,S4,1
415,S1,S2,3
415,S2,S3,1
417,S3,S2,3
421,S2,S3,4
423,S3,S2,2
427,S1,S4,1
427,S3,S2,1
428,S2,S3,3
429,S3,S4,2
431,S1,S2,4
435,S3,S2,1
448,S1,S3,1
448,S3,S4,2
