tick,source,destination,length
4,S3,S2,3
7,S2,S1,3
10,S2,S3,2
18,S1,S2,3
30,S2,S1,3
41,S2,S1,2
49,S2,S3,1
49,S3,S2,3
57,S2,S1,3
67,S2,S1,1
68,S1,S2,3
121,S1,S2,1
143,S3,S2,3
149,S1,S2,2
155,S3,S2,3
159,S3,S2,3
172,S1,S2,3
180,S3,S2,2
187,S1,S2,2
200,S1,S2,3
214,S1,S2,1
229,S1,S2,3
244,S1,S2,1
250,S3,S2,1
256,S1,S2,2
276,S1,S2,2
282,S3,S2,2
288,S3,S2,1
289,S1,S2,3
296,S1,S2,3
299,S1,S2,3
310,S1,S2,3
315,S3,S2,1
318,S1,S2,1
349,S1,S2,2
384,S3,S2,3
390,S1,S2,3
391,S3,S2,1
404,S1,S2,1
412,S3,S2,1
423,S1,S2,3
428,S3,S2,3
434,S1,S2,3
440,S3,S2,1
447,S1,S2,1
453,S3,S2,2
476,S3,S2,1
485,S1,S2,1
504,S1,S2,2
509,S1,S2,3
516,S3,S2,1
545,S1,S2,1
553,S1,S2,1
554,S1,S2,2
558,S3,S2,3
568,S3,S2,2
576,S3,S2,2
584,S3,S2,2
595,S1,S2,3
599,S1,S2,1
599,S3,S2,2
621,S3,S2,1
622,S1,S2,2
628,S1,S2,2
636,S3,S2,1
652,S3,S2,2
679,S3,S2,1
694,S1,S2,3
705,S3,S2,3
708,S1,S2,1
731,S3,S2,3
746,S3,S2,1
784,S3,S2,3
788,S3,S2,2
796,S3,S2,3
811,S3,S2,3
827,S3,S2,3
842,S3,S2,2
849,S1,S2,1
862,S1,S2,1
879,S3,S2,1
887,S3,S2,3
892,S1,S2,3
902,S1,S2,1
912,S1,S2,3
936,S1,S2,1
938,S1,S2,3
945,S3,S2,3
977,S1,S2,2
1022,S1,S2,1
1026,S3,S2,2
1027,S1,S2,1
1041,S1,S2,2
1054,S1,S2,2
1067,S1,S2,1
1069,S3,S2,3
1070,S1,S2,1
1093,S1,S2,2
1095,S1,S2,1
1096,S3,S2,2
1100,S1,S2,1
1103,S1,S2,1
1103,S3,S2,1
1105,S1,S2,3
1116,S3,S2,2
1120,S3,S2,3
1123,S3,S2,3
1127,S1,S2,2
1147,S3,S2,3
1178,S3,S2,2
1196,S1,S2,1
1206,S3,S2,2
1213,S1,S2,1
1216,S1,S2,2
1230,S3,S2,3
1240,S1,S2,2
1248,S1,S2,2
1270,S3,S2,1
1289,S3,S2,1
1295,S1,S2,2
1302,S3,S2,2
1308,S3,S2,3
1309,S1,S2,3
1330,S3,S2,3
1333,S3,S2,3
1351,S3,S2,2
1367,S1,S2,3
1373,S1,S2,1
1379,S1,S2,1
1384,S3,S2,3
1401,S1,S2,3
1416,S3,S2,1
1431,S1,S2,3
1456,S3,S2,3
1461,S1,S2,1
1467,S1,S2,1
1484,S1,S2,3
1492,S1,S2,2
1494,S1,S2,3
1508,S3,S2,2
1512,S3,S2,2
1523,S3,S2,1
1536,S1,S2,3
1537,S3,S2,1
1540,S1,S2,1
1542,S1,S2,3
1567,S3,S2,1
1569,S1,S2,1
1578,S3,S2,2
1587,S1,S2,2
1590,S3,S2,2
1596,S3,S2,1
1604,S1,S2,1
1604,S3,S2,3
1628,S3,S2,2
1634,S3,S2,3
1640,S3,S2,3
1652,S3,S2,3
1661,S3,S2,3
1667,S3,S2,2
1677,S3,S2,2
1683,S1,S2,3
1691,S1,S2,1
1697,S1,S2,2
1707,S1,S2,1
1708,S1,S2,1
1712,S3,S2,1
1718,S3,S2,3
1730,S3,S2,2
1760,S1,S2,2
1763,S1,S2,3
1780,S1,S2,1
1785,S3,S2,2
1788,S1,S2,1
1790,S1,S2,1
1799,S3,S2,1
1803,S3,S2,2
1805,S1,S2,1
1827,S1,S2,2
1834,S1,S2,1
1853,S3,S2,3
1865,S3,S2,3
1866,S1,S2,3
1879,S1,S2,1
1885,S1,S2,2
1915,S1,S2,3
1918,S1,S2,2
1924,S1,S2,2
1980,S1,S2,1
1993,S1,S2,2
2015,S3,S2,1
2025,S3,S2,1
2040,S3,S2,3
2045,S1,S2,2
2087,S1,S2,3
2110,S3,S2,2
2115,S3,S2,2
2127,S1,S2,3
2138,S3,S2,1
2145,S3,S2,2
2153,S3,S2,2
2158,S3,S2,3
2179,S3,S2,3
2180,S1,S2,1
2192,S3,S2,3
2210,S3,S2,3
2222,S1,S2,1
2273,S3,S2,3
2279,S1,S2,1
2322,S3,S2,3
2336,S3,S2,1
2344,S3,S2,2
2349,S1,S2,2
2353,S1,S2,3
2359,S1,S2,2
2362,S1,S2,2
2379,S3,S2,2
2383,S1,S2,2
2430,S1,S2,1
2431,S3,S2,2
2436,S1,S2,3
2458,S1,S2,3
2473,S3,S2,1
2475,S1,S2,2
2493,S1,S2,2
2501,S3,S2,3
2505,S3,S2,3
2514,S1,S2,1
2518,S1,S2,1
2561,S3,S2,3
2562,S1,S2,3
2566,S3,S2,1
2567,S3,S2,1
2580,S1,S2,3
2602,S3,S2,3
2617,S3,S2,2
2648,S3,S2,2
2658,S1,S2,1
2661,S1,S2,3
2662,S3,S2,1
2677,S1,S2,3
2689,S1,S2,3
2695,S1,S2,3
2710,S1,S2,2
2710,S3,S2,1
2714,S3,S2,3
2743,S1,S2,2
2746,S1,S2,3
2758,S3,S2,3
2763,S3,S2,3
2806,S1,S2,3
2810,S1,S2,1
2811,S1,S2,3
2841,S1,S2,3
2846,S1,S2,1
2863,S1,S2,2
2888,S1,S2,3
2891,S3,S2,2
2905,S1,S2,1
2919,S1,S2,1
2930,S1,S2,3
2940,S1,S2,3
2950,S1,S2,1
2980,S1,S2,1
2990,S3,S2,3
2993,S3,S2,3
2994,S1,S2,3
3001,S1,S2,2
3013,S1,S2,3
3028,S3,S2,1
3038,S1,S2,1
3049,S1,S2,2
3076,S1,S2,2
3089,S3,S2,3
3091,S1,S2,1
3107,S1,S2,3
3110,S3,S2,2
3120,S3,S2,2
3126,S1,S2,3
3136,S3,S2,3
3139,S1,S2,1
3148,S3,S2,2
3153,S3,S2,1
3157,S1,S2,2
3159,S3,S2,1
3166,S3,S2,3
3168,S1,S2,2
3174,S3,S2,3
3177,S1,S2,2
3179,S3,S2,2
3191,S1,S2,1
3215,S1,S2,2
3219,S1,S2,3
3223,S3,S2,3
3246,S3,S2,3
3254,S3,S2,3
3257,S3,S2,1
3271,S1,S2,1
3273,S1,S2,2
3278,S1,S2,2
3284,S1,S2,1
3291,S1,S2,3
3303,S1,S2,3
3304,S3,S2,3
3318,S3,S2,1
3322,S3,S2,2
3325,S3,S2,2
3327,S3,S2,2
3347,S1,S2,1
3359,S1,S2,1
3371,S3,S2,3
3377,S1,S2,1
3394,S1,S2,3
3394,S3,S2,3
3400,S3,S2,1
3405,S1,S2,1
3420,S3,S2,1
3437,S3,S2,1
3461,S3,S2,3
3463,S1,S2,3
3468,S1,S2,2
3470,S1,S2,1
3470,S3,S2,1
3471,S1,S2,1
3487,S1,S2,2
3496,S1,S2,2
3516,S3,S2,2
3525,S1,S2,2
3525,S3,S2,1
3542,S1,S2,1
3545,S1,S2,2
3564,S3,S2,3
3572,S3,S2,2
3582,S3,S2,3
3589,S3,S2,1
3594,S1,S2,2
3602,S3,S2,2
3605,S3,S2,1
3609,S1,S2,3
3626,S3,S2,2
3649,S3,S2,2
3673,S1,S2,3
3676,S1,S2,2
3697,S3,S2,1
3704,S3,S2,1
3710,S3,S2,3
3712,S1,S2,1
3718,S3,S2,3
3742,S3,S2,2
3746,S3,S2,3
3752,S1,S2,2
3757,S3,S2,2
3773,S1,S2,2
3796,S3,S2,3
3803,S3,S2,2
3805,S3,S2,3
3809,S1,S2,1
3809,S3,S2,2
3839,S3,S2,3
3849,S3,S2,1
3857,S1,S2,2
3860,S3,S2,1
3864,S3,S2,3
3908,S3,S2,1
